# order, q, snr, area
# failed 5, 12, xxx, xxx
# failed 5, 13, xxx, xxx
# failed 5, 14, xxx, xxx
# failed 5, 15, xxx, xxx
# failed 5, 16, xxx, xxx
# failed 5, 17, xxx, xxx
# failed 5, 18, xxx, xxx
# failed 5, 19, xxx, xxx
# failed 5, 20, xxx, xxx
# failed 5, 21, xxx, xxx
# failed 5, 22, xxx, xxx
# failed 5, 23, xxx, xxx
# failed 6, 8, xxx, xxx
# failed 6, 9, xxx, xxx
# failed 6, 10, xxx, xxx
# failed 6, 11, xxx, xxx
# failed 6, 12, xxx, xxx
# failed 6, 13, xxx, xxx
# failed 6, 14, xxx, xxx
# failed 6, 15, xxx, xxx
# failed 6, 16, xxx, xxx
# failed 6, 17, xxx, xxx
# failed 6, 18, xxx, xxx
# failed 6, 19, xxx, xxx
# failed 6, 20, xxx, xxx
# failed 6, 21, xxx, xxx
# failed 6, 22, xxx, xxx
# failed 6, 23, xxx, xxx
# failed 7, 8, xxx, xxx
# failed 7, 9, xxx, xxx
# failed 7, 10, xxx, xxx
# failed 7, 11, xxx, xxx
# failed 7, 12, xxx, xxx
# failed 7, 13, xxx, xxx
# failed 7, 14, xxx, xxx
# failed 7, 15, xxx, xxx
# failed 7, 16, xxx, xxx
# failed 7, 17, xxx, xxx
# failed 7, 18, xxx, xxx
# failed 7, 19, xxx, xxx
# failed 7, 20, xxx, xxx
# failed 7, 21, xxx, xxx
# failed 7, 22, xxx, xxx
# failed 7, 23, xxx, xxx
# order, bits, bits_before, snr, area
# failed 2, 8, xxx, xxx
# failed 2, 9, xxx, xxx
# failed 2, 10, xxx, xxx
# failed 2, 11, xxx, xxx
# failed 2, 12, xxx, xxx
# failed 2, 13, xxx, xxx
# failed 2, 14, xxx, xxx
# failed 2, 15, xxx, xxx
# failed 2, 16, xxx, xxx
# failed 2, 17, xxx, xxx
# failed 2, 18, xxx, xxx
# failed 2, 19, xxx, xxx
# failed 2, 20, xxx, xxx
# failed 2, 21, xxx, xxx
# failed 2, 22, xxx, xxx
# order, bits, bits_before, snr, area
2, 8, 4, 61.51569606932692, 3898.0
2, 9, 4, 64.75264105467318, 6846.0
2, 10, 4, 65.17261659980575, 10218.0
2, 11, 4, 72.75460349328058, 12971.0
2, 12, 4, 73.41252967356145, 12326.0
2, 13, 4, 80.6935828447559, 17030.0
2, 14, 4, 80.66517550829006, 20861.0
2, 15, 4, 85.07791075556783, 27850.0
2, 16, 4, 91.89962129297699, 31973.0
2, 17, 4, 88.9115214503394, 33584.0
2, 18, 4, 94.51291302571974, 32581.0
2, 19, 4, 98.45682684876198, 38907.0
2, 20, 4, 95.19506597252825, 45220.0
2, 21, 4, 93.29896283533668, 49208.0
2, 22, 4, 93.797532977939, 57376.0
2, 23, 4, 93.75590633520453, 52516.0
3, 8, 2, 64.08783154254662, 9435.0
3, 9, 2, 71.30729661565522, 11694.0
3, 10, 2, 75.29111604343346, 14561.0
3, 11, 2, 78.86894368242105, 17885.0
3, 12, 2, 81.25430498038745, 23583.0
3, 13, 2, 88.36388711475641, 29758.0
3, 14, 2, 88.64715668533299, 39640.0
3, 15, 2, 97.56214804943212, 43216.0
3, 16, 2, 103.37687075020754, 43633.0
3, 17, 2, 111.21908377125145, 55828.0
3, 18, 2, 113.08821690865763, 52794.0
3, 19, 2, 117.89920523850937, 57078.0
3, 20, 2, 115.31396344976758, 70292.0
3, 21, 2, 116.92430414295737, 78640.0
3, 22, 2, 118.83975332293998, 86426.0
3, 23, 2, 119.1752386452331, 89629.0
4, 8, 3, 62.11705081916355, 10404.0
4, 9, 3, 60.387457817448755, 12685.0
4, 10, 3, 66.80818810004719, 14863.0
4, 11, 3, 71.26840216065766, 21649.0
4, 12, 3, 74.04375481029358, 26945.0
4, 13, 3, 80.74080575329444, 41124.0
4, 14, 3, 82.94483063183927, 45095.0
4, 15, 3, 87.86626678503995, 52232.0
4, 16, 3, 92.48617952596065, 56659.0
4, 17, 3, 101.44222091104163, 71905.0
4, 18, 3, 108.41544140713198, 75289.0
